Fecha,Clas Final,TemporadaTrafico,Eventos Especiales
1/1/14,FestivoEntreSemana,Bajo Trafico,No
1/2/14,Habil,Bajo Trafico,No
1/3/14,VisperaDescanso,Bajo Trafico,No
1/4/14,Sabado,Bajo Trafico,No
1/5/14,DomingoFestivo,Bajo Trafico,No
1/6/14,FestivoEntreSemana,Bajo Trafico,No
1/7/14,Habil,Bajo Trafico,No
1/8/14,Habil,Bajo Trafico,No
1/9/14,Habil,Bajo Trafico,No
1/10/14,VisperaDescanso,Bajo Trafico,No
1/11/14,Sabado,Bajo Trafico,No
1/12/14,DomingoFestivo,Bajo Trafico,No
1/13/14,Habil,Moderado Trafico,No
1/14/14,Habil,Moderado Trafico,No
1/15/14,Habil,Moderado Trafico,No
1/16/14,Habil,Moderado Trafico,No
1/17/14,VisperaDescanso,Moderado Trafico,No
1/18/14,Sabado,Moderado Trafico,No
1/19/14,DomingoFestivo,Moderado Trafico,No
1/20/14,Habil,Moderado Trafico,No
1/21/14,Habil,Moderado Trafico,No
1/22/14,Habil,Moderado Trafico,No
1/23/14,Habil,Moderado Trafico,No
1/24/14,VisperaDescanso,Moderado Trafico,No
1/25/14,Sabado,Moderado Trafico,No
1/26/14,DomingoFestivo,Moderado Trafico,No
1/27/14,Habil,Normal Trafico,No
1/28/14,Habil,Normal Trafico,No
1/29/14,Habil,Normal Trafico,No
1/30/14,Habil,Normal Trafico,No
1/31/14,VisperaDescanso,Normal Trafico,No
2/1/14,Sabado,Normal Trafico,No
2/2/14,DomingoFestivo,Normal Trafico,No
2/3/14,Habil,Normal Trafico,No
2/4/14,Habil,Normal Trafico,No
2/5/14,Habil,Normal Trafico,No
2/6/14,Habil,Normal Trafico,No
2/7/14,VisperaDescanso,Normal Trafico,No
2/8/14,Sabado,Normal Trafico,No
2/9/14,DomingoFestivo,Normal Trafico,No
2/10/14,Habil,Normal Trafico,No
2/11/14,Habil,Normal Trafico,No
2/12/14,Habil,Normal Trafico,No
2/13/14,Habil,Normal Trafico,No
2/14/14,VisperaDescanso,Normal Trafico,No
2/15/14,Sabado,Normal Trafico,No
2/16/14,DomingoFestivo,Normal Trafico,No
2/17/14,Habil,Normal Trafico,No
2/18/14,Habil,Normal Trafico,No
2/19/14,Habil,Normal Trafico,No
2/20/14,Habil,Normal Trafico,No
2/21/14,VisperaDescanso,Normal Trafico,No
2/22/14,Sabado,Normal Trafico,No
2/23/14,DomingoFestivo,Normal Trafico,No
2/24/14,Habil,Normal Trafico,No
2/25/14,Habil,Normal Trafico,No
2/26/14,Habil,Normal Trafico,No
2/27/14,Habil,Normal Trafico,No
2/28/14,VisperaDescanso,Normal Trafico,No
3/1/14,Sabado,Normal Trafico,No
3/2/14,DomingoFestivo,Normal Trafico,No
3/3/14,Habil,Normal Trafico,No
3/4/14,Habil,Normal Trafico,No
3/5/14,Habil,Normal Trafico,No
3/6/14,Habil,Normal Trafico,No
3/7/14,VisperaDescanso,Normal Trafico,No
3/8/14,Sabado,Normal Trafico,No
3/9/14,DomingoFestivo,Normal Trafico,No
3/10/14,Habil,Normal Trafico,No
3/11/14,Habil,Normal Trafico,No
3/12/14,Habil,Normal Trafico,No
3/13/14,Habil,Normal Trafico,No
3/14/14,VisperaDescanso,Normal Trafico,No
3/15/14,Sabado,Normal Trafico,No
3/16/14,DomingoFestivo,Normal Trafico,No
3/17/14,Habil,Normal Trafico,No
3/18/14,Habil,Normal Trafico,No
3/19/14,Habil,Normal Trafico,No
3/20/14,Habil,Normal Trafico,No
3/21/14,VisperaDescanso,Normal Trafico,No
3/22/14,Sabado,Moderado Trafico,No
3/23/14,DomingoFestivo,Moderado Trafico,No
3/24/14,FestivoEntreSemana,Moderado Trafico,No
3/25/14,Habil,Normal Trafico,No
3/26/14,Habil,Normal Trafico,No
3/27/14,Habil,Normal Trafico,No
3/28/14,VisperaDescanso,Normal Trafico,No
3/29/14,Sabado,Normal Trafico,No
3/30/14,DomingoFestivo,Normal Trafico,No
3/31/14,Habil,Normal Trafico,No
4/1/14,Habil,Normal Trafico,No
4/2/14,Habil,Normal Trafico,No
4/3/14,Habil,Normal Trafico,No
4/4/14,VisperaDescanso,Normal Trafico,No
4/5/14,Sabado,Normal Trafico,No
4/6/14,DomingoFestivo,Normal Trafico,No
4/7/14,Habil,Normal Trafico,No
4/8/14,Habil,Normal Trafico,No
4/9/14,Habil,Normal Trafico,No
4/10/14,Habil,Normal Trafico,No
4/11/14,VisperaDescanso,Normal Trafico,No
4/12/14,Sabado,Moderado Trafico,No
4/13/14,DomingoFestivo,Moderado Trafico,No
4/14/14,Habil,Moderado Trafico,No
4/15/14,Habil,Moderado Trafico,No
4/16/14,VisperaDescanso,Moderado Trafico,No
4/17/14,FestivoEntreSemana,Bajo Trafico,No
4/18/14,FestivoEntreSemana,Bajo Trafico,No
4/19/14,Sabado,Bajo Trafico,No
4/20/14,DomingoFestivo,Bajo Trafico,No
4/21/14,Habil,Normal Trafico,No
4/22/14,Habil,Normal Trafico,No
4/23/14,Habil,Normal Trafico,No
4/24/14,Habil,Normal Trafico,No
4/25/14,VisperaDescanso,Normal Trafico,No
4/26/14,Sabado,Normal Trafico,No
4/27/14,DomingoFestivo,Normal Trafico,No
4/28/14,Habil,Normal Trafico,No
4/29/14,Habil,Normal Trafico,No
4/30/14,VisperaDescanso,Normal Trafico,No
5/1/14,FestivoEntreSemana,Normal Trafico,No
5/2/14,VisperaDescanso,Normal Trafico,No
5/3/14,Sabado,Normal Trafico,No
5/4/14,DomingoFestivo,Normal Trafico,No
5/5/14,Habil,Normal Trafico,No
5/6/14,Habil,Normal Trafico,No
5/7/14,Habil,Normal Trafico,No
5/8/14,Habil,Normal Trafico,No
5/9/14,VisperaDescanso,Normal Trafico,No
5/10/14,Sabado,Normal Trafico,No
5/11/14,DomingoFestivo,Normal Trafico,Día de la madre
5/12/14,Habil,Normal Trafico,No
5/13/14,Habil,Normal Trafico,No
5/14/14,Habil,Normal Trafico,No
5/15/14,Habil,Normal Trafico,No
5/16/14,VisperaDescanso,Normal Trafico,No
5/17/14,Sabado,Normal Trafico,No
5/18/14,DomingoFestivo,Normal Trafico,No
5/19/14,Habil,Normal Trafico,No
5/20/14,Habil,Normal Trafico,No
5/21/14,Habil,Normal Trafico,No
5/22/14,Habil,Normal Trafico,No
5/23/14,VisperaDescanso,Normal Trafico,No
5/24/14,Sabado,Normal Trafico,No
5/25/14,DomingoFestivo,Normal Trafico,No
5/26/14,Habil,Normal Trafico,No
5/27/14,Habil,Normal Trafico,No
5/28/14,Habil,Normal Trafico,No
5/29/14,Habil,Normal Trafico,No
5/30/14,VisperaDescanso,Normal Trafico,No
5/31/14,Sabado,Moderado Trafico,No
6/1/14,DomingoFestivo,Moderado Trafico,No
6/2/14,FestivoEntreSemana,Moderado Trafico,No
6/3/14,Habil,Moderado Trafico,No
6/4/14,Habil,Moderado Trafico,No
6/5/14,Habil,Moderado Trafico,No
6/6/14,VisperaDescanso,Moderado Trafico,No
6/7/14,Sabado,Moderado Trafico,No
6/8/14,DomingoFestivo,Moderado Trafico,No
6/9/14,Habil,Moderado Trafico,No
6/10/14,Habil,Moderado Trafico,No
6/11/14,Habil,Moderado Trafico,No
6/12/14,Habil,Moderado Trafico,No
6/13/14,VisperaDescanso,Moderado Trafico,No
6/14/14,Sabado,Moderado Trafico,Partido Colombia
6/15/14,DomingoFestivo,Moderado Trafico,No
6/16/14,Habil,Bajo Trafico,No
6/17/14,Habil,Bajo Trafico,Día del padre
6/18/14,Habil,Bajo Trafico,No
6/19/14,Habil,Bajo Trafico,Partido Colombia
6/20/14,VisperaDescanso,Bajo Trafico,No
6/21/14,Sabado,Bajo Trafico,No
6/22/14,DomingoFestivo,Bajo Trafico,No
6/23/14,FestivoEntreSemana,Bajo Trafico,No
6/24/14,Habil,Bajo Trafico,Partido Colombia
6/25/14,Habil,Bajo Trafico,No
6/26/14,Habil,Bajo Trafico,No
6/27/14,VisperaDescanso,Bajo Trafico,No
6/28/14,Sabado,Bajo Trafico,Partido Colombia
6/29/14,DomingoFestivo,Bajo Trafico,No
6/30/14,FestivoEntreSemana,Bajo Trafico,No
7/1/14,Habil,Bajo Trafico,No
7/2/14,Habil,Bajo Trafico,No
7/3/14,Habil,Bajo Trafico,No
7/4/14,VisperaDescanso,Bajo Trafico,Partido Colombia
7/5/14,Sabado,Bajo Trafico,No
7/6/14,DomingoFestivo,Bajo Trafico,No
7/7/14,Habil,Bajo Trafico,No
7/8/14,Habil,Bajo Trafico,No
7/9/14,Habil,Bajo Trafico,No
7/10/14,Habil,Bajo Trafico,No
7/11/14,VisperaDescanso,Bajo Trafico,No
7/12/14,Sabado,Bajo Trafico,No
7/13/14,DomingoFestivo,Bajo Trafico,No
7/14/14,Habil,Bajo Trafico,No
7/15/14,Habil,Bajo Trafico,No
7/16/14,Habil,Bajo Trafico,No
7/17/14,Habil,Bajo Trafico,No
7/18/14,VisperaDescanso,Bajo Trafico,No
7/19/14,Sabado,Bajo Trafico,No
7/20/14,DomingoFestivo,Bajo Trafico,No
7/21/14,Habil,Moderado Trafico,No
7/22/14,Habil,Moderado Trafico,No
7/23/14,Habil,Moderado Trafico,No
7/24/14,Habil,Moderado Trafico,No
7/25/14,VisperaDescanso,Moderado Trafico,No
7/26/14,Sabado,Moderado Trafico,No
7/27/14,DomingoFestivo,Moderado Trafico,No
7/28/14,Habil,Moderado Trafico,No
7/29/14,Habil,Moderado Trafico,No
7/30/14,Habil,Moderado Trafico,No
7/31/14,Habil,Moderado Trafico,No
8/1/14,VisperaDescanso,Normal Trafico,No
8/2/14,Sabado,Normal Trafico,No
8/3/14,DomingoFestivo,Normal Trafico,No
8/4/14,Habil,Normal Trafico,No
8/5/14,Habil,Normal Trafico,No
8/6/14,VisperaDescanso,Normal Trafico,No
8/7/14,FestivoEntreSemana,Normal Trafico,No
8/8/14,VisperaDescanso,Normal Trafico,No
8/9/14,Sabado,Normal Trafico,No
8/10/14,DomingoFestivo,Normal Trafico,No
8/11/14,Habil,Normal Trafico,No
8/12/14,Habil,Normal Trafico,No
8/13/14,Habil,Normal Trafico,No
8/14/14,Habil,Normal Trafico,No
8/15/14,VisperaDescanso,Normal Trafico,No
8/16/14,Sabado,Moderado Trafico,No
8/17/14,DomingoFestivo,Moderado Trafico,No
8/18/14,FestivoEntreSemana,Moderado Trafico,No
8/19/14,Habil,Normal Trafico,No
8/20/14,Habil,Normal Trafico,No
8/21/14,Habil,Normal Trafico,No
8/22/14,VisperaDescanso,Normal Trafico,No
8/23/14,Sabado,Normal Trafico,No
8/24/14,DomingoFestivo,Normal Trafico,No
8/25/14,Habil,Normal Trafico,No
8/26/14,Habil,Normal Trafico,No
8/27/14,Habil,Normal Trafico,No
8/28/14,Habil,Normal Trafico,No
8/29/14,VisperaDescanso,Normal Trafico,No
8/30/14,Sabado,Normal Trafico,No
8/31/14,DomingoFestivo,Normal Trafico,No
9/1/14,Habil,Normal Trafico,No
9/2/14,Habil,Normal Trafico,No
9/3/14,Habil,Normal Trafico,No
9/4/14,Habil,Normal Trafico,No
9/5/14,VisperaDescanso,Normal Trafico,No
9/6/14,Sabado,Normal Trafico,No
9/7/14,DomingoFestivo,Normal Trafico,No
9/8/14,Habil,Normal Trafico,No
9/9/14,Habil,Normal Trafico,No
9/10/14,Habil,Normal Trafico,No
9/11/14,Habil,Normal Trafico,No
9/12/14,VisperaDescanso,Normal Trafico,No
9/13/14,Sabado,Normal Trafico,No
9/14/14,DomingoFestivo,Normal Trafico,No
9/15/14,Habil,Normal Trafico,No
9/16/14,Habil,Normal Trafico,No
9/17/14,Habil,Normal Trafico,No
9/18/14,Habil,Normal Trafico,No
9/19/14,VisperaDescanso,Normal Trafico,Amor y Amistad
9/20/14,Sabado,Normal Trafico,Amor y Amistad
9/21/14,DomingoFestivo,Normal Trafico,No
9/22/14,Habil,Normal Trafico,No
9/23/14,Habil,Normal Trafico,No
9/24/14,Habil,Normal Trafico,No
9/25/14,Habil,Normal Trafico,No
9/26/14,VisperaDescanso,Normal Trafico,No
9/27/14,Sabado,Normal Trafico,No
9/28/14,DomingoFestivo,Normal Trafico,No
9/29/14,Habil,Normal Trafico,No
9/30/14,Habil,Normal Trafico,No
10/1/14,Habil,Normal Trafico,No
10/2/14,Habil,Normal Trafico,No
10/3/14,VisperaDescanso,Normal Trafico,No
10/4/14,Sabado,Moderado Trafico,No
10/5/14,DomingoFestivo,Moderado Trafico,No
10/6/14,Habil,Moderado Trafico,No
10/7/14,Habil,Moderado Trafico,No
10/8/14,Habil,Moderado Trafico,No
10/9/14,Habil,Moderado Trafico,No
10/10/14,VisperaDescanso,Moderado Trafico,No
10/11/14,Sabado,Moderado Trafico,No
10/12/14,DomingoFestivo,Moderado Trafico,No
10/13/14,FestivoEntreSemana,Moderado Trafico,No
10/14/14,Habil,Normal Trafico,No
10/15/14,Habil,Normal Trafico,No
10/16/14,Habil,Normal Trafico,No
10/17/14,VisperaDescanso,Normal Trafico,No
10/18/14,Sabado,Normal Trafico,No
10/19/14,DomingoFestivo,Normal Trafico,No
10/20/14,Habil,Normal Trafico,No
10/21/14,Habil,Normal Trafico,No
10/22/14,Habil,Normal Trafico,No
10/23/14,Habil,Normal Trafico,No
10/24/14,VisperaDescanso,Normal Trafico,No
10/25/14,Sabado,Normal Trafico,No
10/26/14,DomingoFestivo,Normal Trafico,No
10/27/14,Habil,Normal Trafico,No
10/28/14,Habil,Normal Trafico,No
10/29/14,Habil,Normal Trafico,No
10/30/14,Habil,Normal Trafico,No
10/31/14,VisperaDescanso,Normal Trafico,Halloween
11/1/14,Sabado,Moderado Trafico,No
11/2/14,DomingoFestivo,Moderado Trafico,No
11/3/14,FestivoEntreSemana,Moderado Trafico,No
11/4/14,Habil,Normal Trafico,No
11/5/14,Habil,Normal Trafico,No
11/6/14,Habil,Normal Trafico,No
11/7/14,VisperaDescanso,Normal Trafico,No
11/8/14,Sabado,Normal Trafico,No
11/9/14,DomingoFestivo,Normal Trafico,No
11/10/14,Habil,Normal Trafico,No
11/11/14,Habil,Normal Trafico,No
11/12/14,Habil,Normal Trafico,No
11/13/14,Habil,Normal Trafico,No
11/14/14,VisperaDescanso,Normal Trafico,No
11/15/14,Sabado,Moderado Trafico,No
11/16/14,DomingoFestivo,Moderado Trafico,No
11/17/14,FestivoEntreSemana,Moderado Trafico,No
11/18/14,Habil,Normal Trafico,No
11/19/14,Habil,Normal Trafico,No
11/20/14,Habil,Normal Trafico,No
11/21/14,VisperaDescanso,Normal Trafico,No
11/22/14,Sabado,Normal Trafico,No
11/23/14,DomingoFestivo,Normal Trafico,No
11/24/14,Habil,Normal Trafico,No
11/25/14,Habil,Normal Trafico,No
11/26/14,Habil,Normal Trafico,No
11/27/14,Habil,Normal Trafico,No
11/28/14,VisperaDescanso,Normal Trafico,No
11/29/14,Sabado,Moderado Trafico,No
11/30/14,DomingoFestivo,Moderado Trafico,No
12/1/14,Habil,Moderado Trafico,No
12/2/14,Habil,Moderado Trafico,No
12/3/14,Habil,Moderado Trafico,No
12/4/14,Habil,Moderado Trafico,No
12/5/14,VisperaDescanso,Moderado Trafico,No
12/6/14,Sabado,Moderado Trafico,No
12/7/14,DomingoFestivo,Moderado Trafico,No
12/8/14,FestivoEntreSemana,Moderado Trafico,No
12/9/14,Habil,Moderado Trafico,No
12/10/14,Habil,Moderado Trafico,No
12/11/14,Habil,Moderado Trafico,No
12/12/14,VisperaDescanso,Moderado Trafico,No
12/13/14,Sabado,Moderado Trafico,No
12/14/14,DomingoFestivo,Moderado Trafico,No
12/15/14,Habil,Moderado Trafico,No
12/16/14,Habil,Moderado Trafico,Novenas
12/17/14,Habil,Moderado Trafico,Novenas
12/18/14,Habil,Moderado Trafico,Novenas
12/19/14,VisperaDescanso,Moderado Trafico,Novenas
12/20/14,Sabado,Moderado Trafico,Novenas
12/21/14,DomingoFestivo,Moderado Trafico,Novenas
12/22/14,Habil,Moderado Trafico,Novenas
12/23/14,Habil,Moderado Trafico,Novenas
12/24/14,VisperaDescanso,Moderado Trafico,Navidad
12/25/14,FestivoEntreSemana,Bajo Trafico,No
12/26/14,VisperaDescanso,Bajo Trafico,No
12/27/14,Sabado,Bajo Trafico,No
12/28/14,DomingoFestivo,Bajo Trafico,No
12/29/14,Habil,Bajo Trafico,No
12/30/14,Habil,Bajo Trafico,No
12/31/14,VisperaDescanso,Bajo Trafico,Año nuevo
1/1/15,FestivoEntreSemana,Bajo Trafico,No
1/2/15,VisperaDescanso,Bajo Trafico,No
1/3/15,Sabado,Bajo Trafico,No
1/4/15,DomingoFestivo,Bajo Trafico,No
1/5/15,Habil,Bajo Trafico,No
1/6/15,Habil,Bajo Trafico,No
1/7/15,Habil,Bajo Trafico,No
1/8/15,Habil,Bajo Trafico,No
1/9/15,VisperaDescanso,Bajo Trafico,No
1/10/15,Sabado,Bajo Trafico,No
1/11/15,DomingoFestivo,Bajo Trafico,No
1/12/15,FestivoEntreSemana,Bajo Trafico,No
1/13/15,Habil,Moderado Trafico,No
1/14/15,Habil,Moderado Trafico,No
1/15/15,Habil,Moderado Trafico,No
1/16/15,VisperaDescanso,Moderado Trafico,No
1/17/15,Sabado,Moderado Trafico,No
1/18/15,DomingoFestivo,Moderado Trafico,No
1/19/15,Habil,Moderado Trafico,No
1/20/15,Habil,Moderado Trafico,No
1/21/15,Habil,Moderado Trafico,No
1/22/15,Habil,Moderado Trafico,No
1/23/15,VisperaDescanso,Moderado Trafico,No
1/24/15,Sabado,Moderado Trafico,No
1/25/15,DomingoFestivo,Moderado Trafico,No
1/26/15,Habil,Moderado Trafico,No
1/27/15,Habil,Moderado Trafico,No
1/28/15,Habil,Moderado Trafico,No
1/29/15,Habil,Moderado Trafico,No
1/30/15,VisperaDescanso,Moderado Trafico,No
1/31/15,Sabado,Moderado Trafico,No
2/1/15,DomingoFestivo,Moderado Trafico,No
2/2/15,Habil,Normal Trafico,No
2/3/15,Habil,Normal Trafico,No
2/4/15,Habil,Normal Trafico,No
2/5/15,Habil,Normal Trafico,No
2/6/15,VisperaDescanso,Normal Trafico,No
2/7/15,Sabado,Normal Trafico,No
2/8/15,DomingoFestivo,Normal Trafico,No
2/9/15,Habil,Normal Trafico,No
2/10/15,Habil,Normal Trafico,No
2/11/15,Habil,Normal Trafico,No
2/12/15,Habil,Normal Trafico,No
2/13/15,VisperaDescanso,Normal Trafico,No
2/14/15,Sabado,Normal Trafico,No
2/15/15,DomingoFestivo,Normal Trafico,No
2/16/15,Habil,Normal Trafico,No
2/17/15,Habil,Normal Trafico,No
2/18/15,Habil,Normal Trafico,No
2/19/15,Habil,Normal Trafico,No
2/20/15,VisperaDescanso,Normal Trafico,No
2/21/15,Sabado,Normal Trafico,No
2/22/15,DomingoFestivo,Normal Trafico,No
2/23/15,Habil,Normal Trafico,No
2/24/15,Habil,Normal Trafico,No
2/25/15,Habil,Normal Trafico,No
2/26/15,Habil,Normal Trafico,No
2/27/15,VisperaDescanso,Normal Trafico,No
2/28/15,Sabado,Normal Trafico,No
3/1/15,DomingoFestivo,Normal Trafico,No
3/2/15,Habil,Normal Trafico,No
3/3/15,Habil,Normal Trafico,No
3/4/15,Habil,Normal Trafico,No
3/5/15,Habil,Normal Trafico,No
3/6/15,VisperaDescanso,Normal Trafico,No
3/7/15,Sabado,Normal Trafico,No
3/8/15,DomingoFestivo,Normal Trafico,No
3/9/15,Habil,Normal Trafico,No
3/10/15,Habil,Normal Trafico,No
3/11/15,Habil,Normal Trafico,No
3/12/15,Habil,Normal Trafico,No
3/13/15,VisperaDescanso,Normal Trafico,No
3/14/15,Sabado,Normal Trafico,No
3/15/15,DomingoFestivo,Normal Trafico,No
3/16/15,Habil,Normal Trafico,No
3/17/15,Habil,Normal Trafico,No
3/18/15,Habil,Normal Trafico,No
3/19/15,Habil,Normal Trafico,No
3/20/15,VisperaDescanso,Normal Trafico,No
3/21/15,Sabado,Moderado Trafico,No
3/22/15,DomingoFestivo,Moderado Trafico,No
3/23/15,FestivoEntreSemana,Moderado Trafico,No
3/24/15,Habil,Normal Trafico,No
3/25/15,Habil,Normal Trafico,No
3/26/15,Habil,Normal Trafico,No
3/27/15,VisperaDescanso,Normal Trafico,No
3/28/15,Sabado,Moderado Trafico,No
3/29/15,DomingoFestivo,Moderado Trafico,No
3/30/15,Habil,Moderado Trafico,No
3/31/15,Habil,Moderado Trafico,No
4/1/15,VisperaDescanso,Moderado Trafico,No