"dgrid","Latitud.Inferior","Latitud.Superior","Longitud.Inferior","Longitud.Superior","semaf_count_d","colegios_count_d","paraderos_count_d","parques_count_d","estaciones_count_d","viasprincipales_count_d","viassecudarias_count_d","viviendas_count_d","hogares_count_d","personas_count_d","comercial_count_d","lotes_count_d"
1,4.81832,4.83,-74.07659,-74.04987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4.79364,4.81832,-74.07659,-74.04987,NA,7,NA,11,1,2,65,NA,NA,NA,NA,NA
3,4.76897,4.79364,-74.07659,-74.04987,NA,12,1,10,0,1,66,600,582,1993,0,43
4,4.76897,4.79364,-74.04987,-74.02314,NA,12,39,10,1,4,201,490,570,2158,282,283
5,4.74429,4.76897,-74.15677,-74.13004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,4.74429,4.76897,-74.13004,-74.10332,2,16,98,68,0,1,1679,26804,30165,109241,611,14005
7,4.74429,4.76897,-74.10332,-74.07659,9,44,88,109,1,4,1880,25618,27710,93138,1227,8521
8,4.74429,4.76897,-74.07659,-74.04987,10,57,74,110,0,2,1039,20687,20610,69407,1156,4321
9,4.74429,4.76897,-74.04987,-74.02314,13,52,159,146,5,6,1850,26974,27898,89780,2462,6659
10,4.71961,4.74429,-74.18349,-74.15677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,4.71961,4.74429,-74.15677,-74.13004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,4.71961,4.74429,-74.13004,-74.10332,4,40,131,79,0,5,2034,36529,41064,144696,1664,13970
13,4.71961,4.74429,-74.10332,-74.07659,16,100,131,159,3,4,4294,56263,67686,236354,4912,29140
14,4.71961,4.74429,-74.07659,-74.04987,19,37,134,168,4,4,1461,34175,33959,106219,2217,6120
15,4.71961,4.74429,-74.04987,-74.02314,30,55,168,129,3,4,1978,36881,35813,107353,2737,7749
16,4.69494,4.71961,-74.18349,-74.15677,NA,2,9,5,0,1,189,980,1332,4470,151,760
17,4.69494,4.71961,-74.15677,-74.13004,5,29,82,43,1,1,1634,20929,22351,84200,2275,12876
18,4.69494,4.71961,-74.13004,-74.10332,29,94,222,165,3,3,3912,72882,77396,271348,7197,31084
19,4.69494,4.71961,-74.10332,-74.07659,14,60,115,183,3,4,2910,36870,41620,150753,3445,16641
20,4.69494,4.71961,-74.07659,-74.04987,33,43,110,121,6,7,1983,32001,32321,96633,3976,9957
21,4.67026,4.69494,-74.18349,-74.15677,5,4,20,15,0,2,403,6124,5931,16711,533,1213
22,4.67026,4.69494,-74.15677,-74.13004,21,63,141,97,0,4,2436,41213,42864,142450,5851,17369
23,4.67026,4.69494,-74.13004,-74.10332,21,47,165,97,2,4,1884,31490,33576,112304,3947,12366
24,4.67026,4.69494,-74.10332,-74.07659,37,86,227,108,4,5,2628,49901,57330,190749,8564,23967
25,4.67026,4.69494,-74.07659,-74.04987,46,36,147,121,13,11,2283,28012,30888,104618,5381,11335
26,4.67026,4.69494,-74.04987,-74.02314,25,9,114,54,0,6,1032,9267,8639,23277,1743,2322
27,4.64558,4.67026,-74.21022,-74.18349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,4.64558,4.67026,-74.18349,-74.15677,1,2,57,30,0,2,751,18118,17714,71142,818,4135
29,4.64558,4.67026,-74.15677,-74.13004,10,15,102,87,0,6,1484,23455,24227,91485,2159,6303
30,4.64558,4.67026,-74.13004,-74.10332,19,47,133,81,4,5,1363,22317,21401,70520,1737,4806
31,4.64558,4.67026,-74.10332,-74.07659,16,25,113,82,4,6,1223,16914,18542,64991,1389,5761
32,4.64558,4.67026,-74.07659,-74.04987,144,63,223,85,7,11,2343,28717,30854,94245,11647,15062
33,4.62091,4.64558,-74.22,-74.21022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,4.62091,4.64558,-74.21022,-74.18349,8,35,161,73,0,2,3408,35615,45390,177848,3401,25763
35,4.62091,4.64558,-74.18349,-74.15677,24,67,203,116,4,3,4428,64819,75994,279636,7241,33042
36,4.62091,4.64558,-74.15677,-74.13004,36,77,191,128,5,4,2460,44103,46823,162903,4781,15970
37,4.62091,4.64558,-74.13004,-74.10332,21,25,158,48,3,5,1332,17696,19653,65356,3831,8556
38,4.62091,4.64558,-74.10332,-74.07659,38,34,125,52,10,10,1467,22613,22038,62336,2563,5698
39,4.59623,4.62091,-74.21022,-74.18349,10,49,190,122,0,3,3951,40083,48620,178638,5048,23995
40,4.59623,4.62091,-74.18349,-74.15677,27,79,244,142,4,3,4410,60232,71967,253103,6985,30172
41,4.59623,4.62091,-74.15677,-74.13004,29,64,222,146,0,4,3052,48831,53585,188523,8261,22328
42,4.59623,4.62091,-74.13004,-74.10332,36,98,198,189,1,5,3186,51339,56794,195141,7012,25353
43,4.59623,4.62091,-74.10332,-74.07659,89,30,173,53,14,14,2139,22986,24861,80791,14057,13342
44,4.57155,4.59623,-74.18349,-74.15677,5,35,175,144,1,4,4542,43680,48458,189005,2818,26250
45,4.57155,4.59623,-74.15677,-74.13004,29,57,168,97,3,5,2446,43621,51765,182214,6258,20104
46,4.57155,4.59623,-74.13004,-74.10332,52,81,173,122,6,8,3441,50323,54296,194993,8343,23999
47,4.57155,4.59623,-74.10332,-74.07659,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
48,4.54687,4.57155,-74.18349,-74.15677,NA,12,63,40,0,NA,1721,11071,12165,49193,634,10096
49,4.54687,4.57155,-74.15677,-74.13004,8,66,181,127,3,4,4691,42007,57573,215704,4871,28354
50,4.54687,4.57155,-74.13004,-74.10332,13,56,165,148,4,4,3842,48202,52536,189366,4747,22344
51,4.54687,4.57155,-74.10332,-74.07659,18,63,180,127,2,4,4281,50854,55728,199849,5188,23819
52,4.5222,4.54687,-74.15677,-74.13004,NA,18,117,72,0,4,2583,7624,10604,41574,626,6777
53,4.5222,4.54687,-74.13004,-74.10332,7,22,95,58,1,1,2448,22763,24511,93658,2235,12732
54,4.49752,4.5222,-74.15677,-74.13004,NA,1,9,6,0,NA,220,336,337,1262,40,333
55,4.49752,4.5222,-74.13004,-74.10332,10,58,128,95,0,1,3426,36152,41132,152800,5844,17715
56,4.47284,4.49752,-74.15677,-74.13004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
